samples,features,std,score,time
100,2,1.0,100.0,0.006806
100,2,1.5,97.0,0.005984
100,2,2.0,94.0,0.00596
100,2,2.5,87.0,0.007983
100,2,3.0,85.0,0.003961
100,2,3.5,80.0,0.004016
100,2,4.0,79.0,0.004017
100,2,4.5,76.0,0.003962
100,3,1.0,100.0,0.004987
100,3,1.5,100.0,0.007017
100,3,2.0,99.0,0.006948
100,3,2.5,98.0,0.005014
100,3,3.0,97.0,0.006015
100,3,3.5,97.0,0.00695
100,3,4.0,93.0,0.007979
100,3,4.5,92.0,0.006011
100,4,1.0,100.0,0.00623
100,4,1.5,100.0,0.009946
100,4,2.0,100.0,0.005983
100,4,2.5,100.0,0.00795
100,4,3.0,100.0,0.006008
100,4,3.5,100.0,0.008953
100,4,4.0,99.0,0.007008
100,4,4.5,91.0,0.006013
100,5,1.0,100.0,0.006003
100,5,1.5,100.0,0.004988
100,5,2.0,100.0,0.004959
100,5,2.5,100.0,0.006012
100,5,3.0,100.0,0.007978
100,5,3.5,98.0,0.007516
100,5,4.0,98.0,0.007993
100,5,4.5,96.0,0.008976
1000,2,1.0,99.1,0.010957
1000,2,1.5,95.19999999999999,0.007978
1000,2,2.0,90.60000000000001,0.007978
1000,2,2.5,84.8,0.008976
1000,2,3.0,79.5,0.013936
1000,2,3.5,75.1,0.009973
1000,2,4.0,70.7,0.009003
1000,2,4.5,67.60000000000001,0.00798
1000,3,1.0,100.0,0.010938
1000,3,1.5,100.0,0.014959
1000,3,2.0,99.2,0.01596
1000,3,2.5,97.7,0.014957
1000,3,3.0,95.6,0.013993
1000,3,3.5,92.80000000000001,0.014929
1000,3,4.0,90.9,0.008976
1000,3,4.5,88.4,0.007982
1000,4,1.0,100.0,0.014927
1000,4,1.5,100.0,0.013996
1000,4,2.0,100.0,0.012933
1000,4,2.5,99.5,0.014956
1000,4,3.0,98.3,0.01197
1000,4,3.5,95.3,0.010967
1000,4,4.0,92.10000000000001,0.010999
1000,4,4.5,89.3,0.009948
1000,5,1.0,100.0,0.011967
1000,5,1.5,100.0,0.01895
1000,5,2.0,100.0,0.01496
1000,5,2.5,99.6,0.017957
1000,5,3.0,98.7,0.016954
1000,5,3.5,97.2,0.012965
1000,5,4.0,94.39999999999999,0.011998
1000,5,4.5,91.7,0.007977
5000,2,1.0,99.18,0.029927
5000,2,1.5,95.67999999999999,0.026898
5000,2,2.0,91.24,0.026929
5000,2,2.5,85.64,0.022913
5000,2,3.0,80.92,0.031942
5000,2,3.5,76.25999999999999,0.023934
5000,2,4.0,72.24000000000001,0.016998
5000,2,4.5,69.3,0.019975
5000,3,1.0,100.0,0.037872
5000,3,1.5,99.94,0.043909
5000,3,2.0,99.22,0.046882
5000,3,2.5,97.68,0.042859
5000,3,3.0,95.76,0.034934
5000,3,3.5,93.16,0.038896
5000,3,4.0,90.36,0.028893
5000,3,4.5,88.02,0.026928
5000,4,1.0,100.0,0.029919
5000,4,1.5,100.0,0.043096
5000,4,2.0,99.83999999999999,0.045847
5000,4,2.5,99.16,0.037902
5000,4,3.0,97.42,0.03086
5000,4,3.5,95.08,0.027923
5000,4,4.0,91.67999999999999,0.025933
5000,4,4.5,88.48,0.020915
5000,5,1.0,100.0,0.03291
5000,5,1.5,100.0,0.042857
5000,5,2.0,99.88,0.064564
5000,5,2.5,99.72,0.053826
5000,5,3.0,98.42,0.037922
5000,5,3.5,96.39999999999999,0.031892
5000,5,4.0,94.06,0.032946
5000,5,4.5,91.10000000000001,0.025902
