,sample,features,std,score,time
0,500,2,2.0,0.688,0.007985
1,500,2,2.4,0.664,0.006976
2,500,2,2.8,0.642,0.006982
3,500,2,3.0,0.626,0.005984
4,500,2,4.0,0.592,0.005984
5,500,2,5.0,0.542,0.005984
6,500,2,6.0,0.506,0.005984
7,500,2,7.0,0.478,0.005984
8,500,3,2.0,0.986,0.007979
9,500,3,2.4,0.958,0.009973
10,500,3,2.8,0.942,0.008976
11,500,3,3.0,0.934,0.008976
12,500,3,4.0,0.848,0.006981
13,500,3,5.0,0.776,0.005984
14,500,3,6.0,0.72,0.006981
15,500,3,7.0,0.688,0.005991
16,500,4,2.0,1.0,0.009002
17,500,4,2.4,1.0,0.008976
18,500,4,2.8,1.0,0.008979
19,500,4,3.0,1.0,0.00997
20,500,4,4.0,0.97,0.007977
21,500,4,5.0,0.914,0.007981
22,500,4,6.0,0.862,0.006979
23,500,4,7.0,0.788,0.006986
24,500,5,2.0,1.0,0.007975
25,500,5,2.4,1.0,0.009975
26,500,5,2.8,1.0,0.00997
27,500,5,3.0,1.0,0.006984
28,500,5,4.0,0.982,0.009968
29,500,5,5.0,0.942,0.005987
30,500,5,6.0,0.88,0.006985
31,500,5,7.0,0.832,0.006976
32,500,6,2.0,1.0,0.007979
33,500,6,2.4,1.0,0.007978
34,500,6,2.8,1.0,0.007979
35,500,6,3.0,1.0,0.009943
36,500,6,4.0,0.994,0.012965
37,500,6,5.0,0.974,0.007978
38,500,6,6.0,0.932,0.007979
39,500,6,7.0,0.878,0.005984
40,500,7,2.0,1.0,0.011968
41,500,7,2.4,1.0,0.012966
42,500,7,2.8,0.996,0.01496
43,500,7,3.0,0.994,0.019946
44,500,7,4.0,0.978,0.027932
45,500,7,5.0,0.94,0.016949
46,500,7,6.0,0.896,0.013003
47,500,7,7.0,0.852,0.010932
48,1000,2,2.0,0.733,0.011966
49,1000,2,2.4,0.696,0.009979
50,1000,2,2.8,0.657,0.007973
51,1000,2,3.0,0.646,0.007979
52,1000,2,4.0,0.593,0.007979
